"","months","count_of_downloads"
"1",2018-01-01,38244722
"2",2018-02-01,33787943
"3",2018-03-01,45966646
"4",2018-04-01,51566293
"5",2018-05-01,48369947
"6",2018-06-01,44977277
"7",2018-07-01,42285633
"8",2018-08-01,41935159
"9",2018-09-01,59734508
"10",2018-10-01,74333034
"11",2018-11-01,74764832
"12",2018-12-01,58582203
"13",2019-01-01,74357130
"14",2019-02-01,73179786
"15",2019-03-01,85358517
"16",2019-04-01,83888879
"17",2019-05-01,93303036
"18",2019-06-01,77304734
"19",2019-07-01,90505852
"20",2019-08-01,89384184
"21",2019-09-01,112344135
"22",2019-10-01,125132842
"23",2019-11-01,120728107
"24",2019-12-01,109839361
